"","Full.Address","to","n","from","minutes","seconds","miles","row.number"
"262","30 QUINCY ST, Somerville, Massachusetts","42.3830975, -71.1006169",1,"146 Washington St, Somerville, MA","4.93333333333333","296","0.8786596",262
"263","30 RIVER RD, Somerville, Massachusetts","42.3976735, -71.0926364",1,"146 Washington St, Somerville, MA","8.48333333333333","509","1.5609568",263
"264","30 WASHINGTON ST, Somerville, Massachusetts","42.3813271, -71.0820238",6,"146 Washington St, Somerville, MA","1.56666666666667","94","0.4206878",264
"265","300 BROADWAY, Somerville, Massachusetts","42.3921177, -71.0929703",1,"146 Washington St, Somerville, MA","5.13333333333333","308","1.0924212",265
"266","300 SOMERVILLE AVE, Somerville, Massachusetts","42.3800117, -71.0973703",2,"146 Washington St, Somerville, MA","4.33333333333333","260","0.6425276",266
"267","301 HIGHLAND AVE, Somerville, Massachusetts","42.39281, -71.113141",1,"146 Washington St, Somerville, MA","7.73333333333333","464","1.5870556",267
"268","309 HIGHLAND AVE, Somerville, Massachusetts","42.3928896, -71.1139313",1,"146 Washington St, Somerville, MA","7.85","471","1.6243396",268
"269","31 BOLTON ST, Somerville, Massachusetts","42.3750618, -71.0983625",2,"146 Washington St, Somerville, MA","5.55","333","0.8531822",269
"270","31 PRESCOTT ST, Somerville, Massachusetts","42.3847855, -71.0988467",1,"146 Washington St, Somerville, MA","4","240","0.8208694",270
"271","31 WALNUT ST, Somerville, Massachusetts","42.382404, -71.095728",1,"146 Washington St, Somerville, MA","3.91666666666667","235","0.6642766",271
"272","313 BROADWAY, Somerville, Massachusetts","42.3926791, -71.093142",1,"146 Washington St, Somerville, MA","5.03333333333333","302","1.0862072",272
"273","318 SOMERVILLE AVE, Somerville, Massachusetts","42.380277, -71.0977345",1,"146 Washington St, Somerville, MA","3.88333333333333","233","0.5959226",273
"274","32 BOW ST, Somerville, Massachusetts","42.3813097, -71.0974172",1,"146 Washington St, Somerville, MA","3.53333333333333","212","0.5648526",274
"275","32 HANSON ST, Somerville, Massachusetts","42.379699, -71.105498",1,"146 Washington St, Somerville, MA","6.1","366","1.0178532",275
"276","32 JAQUES ST, Somerville, Massachusetts","42.393178, -71.090883",2,"146 Washington St, Somerville, MA","5.55","333","1.1483472",276
"277","32 KENT ST, Somerville, Massachusetts","42.382638, -71.11003",5,"146 Washington St, Somerville, MA","7.3","438","1.3788866",277
"278","32 MUNROE ST, Somerville, Massachusetts","42.380479, -71.09225",1,"146 Washington St, Somerville, MA","4.31666666666667","259","0.7133672",278
"279","32 SHORE DR, Somerville, Massachusetts","42.3980727, -71.0899515",3,"146 Washington St, Somerville, MA","7","420","1.5292654",279
"280","320 SOMERVILLE AVE, Somerville, Massachusetts","42.380391, -71.0977039",1,"146 Washington St, Somerville, MA","3.91666666666667","235","0.6033794",280
"281","322 BEACON ST, Somerville, Massachusetts","42.3845172, -71.1140854",1,"146 Washington St, Somerville, MA","7.38333333333333","443","1.5590926",281
"282","326 BROADWAY, Somerville, Massachusetts","42.3924025, -71.0941243",1,"146 Washington St, Somerville, MA","5.45","327","1.0837216",282
"283","328 BROADWAY, Somerville, Massachusetts","42.3926403, -71.0939934",1,"146 Washington St, Somerville, MA","5.95","357","1.1352978",283
"284","33 MELVIN ST, Somerville, Massachusetts","42.389024, -71.0902349",1,"146 Washington St, Somerville, MA","5.26666666666667","316","0.7202026",284
"285","33 PARK ST, Somerville, Massachusetts","42.3819781, -71.1071022",1,"146 Washington St, Somerville, MA","6.28333333333333","377","1.1502114",285
"286","33 SOUTH ST, Somerville, Massachusetts","42.3743963, -71.0898038",1,"146 Washington St, Somerville, MA","3.03333333333333","182","0.6033794",286
"287","330 SUMMER ST, Somerville, Massachusetts","42.3929272, -71.1181975",1,"146 Washington St, Somerville, MA","10.2166666666667","613","2.187328",287
"288","330 WASHINGTON ST, Somerville, Massachusetts","42.3792197, -71.1017067",1,"146 Washington St, Somerville, MA","4.01666666666667","241","0.7276594",288
"289","333 BROADWAY, Somerville, Massachusetts","42.3932279, -71.0941495",2,"146 Washington St, Somerville, MA","5.55","333","1.1508328",289
"290","335 SOMERVILLE AVE, Somerville, Massachusetts","42.3807802, -71.097997",1,"146 Washington St, Somerville, MA","4.56666666666667","274","0.792285",290
"291","337 SOMERVILLE AVE, Somerville, Massachusetts","42.381071, -71.098044",3,"146 Washington St, Somerville, MA","4.96666666666667","298","0.7997418",291
"292","338 SOMERVILLE AVE, Somerville, Massachusetts","42.380519, -71.098398",1,"146 Washington St, Somerville, MA","4.53333333333333","272","0.7835854",292
"293","34- HIGHLAND AVE, Somerville, Massachusetts","42.3852442, -71.0946989",1,"146 Washington St, Somerville, MA","2.76666666666667","166","0.5083052",293
"294","34 CALVIN ST, Somerville, Massachusetts","42.3774691, -71.1041579",2,"146 Washington St, Somerville, MA","5.2","312","0.941421",294
"295","34 DAY ST, Somerville, Massachusetts","42.395078, -71.123945",1,"146 Washington St, Somerville, MA","11.9166666666667","715","2.3961184",295
"296","34 HEATH ST, Somerville, Massachusetts","42.394093, -71.094095",1,"146 Washington St, Somerville, MA","6.66666666666667","400","1.413685",296
"297","34 HIGHLAND AVE, Somerville, Massachusetts","42.3852442, -71.0946989",1,"146 Washington St, Somerville, MA","2.76666666666667","166","0.5083052",297
"298","34 LINE ST, Somerville, Massachusetts","42.3771953, -71.1061333",2,"146 Washington St, Somerville, MA","6.76666666666667","406","1.0824788",298
"299","34 SUMMIT AVE, Somerville, Massachusetts","42.3841454, -71.0967745",1,"146 Washington St, Somerville, MA","3.71666666666667","223","0.7351162",299
"300","343 BROADWAY, Somerville, Massachusetts","42.3936347, -71.0943702",1,"146 Washington St, Somerville, MA","5.68333333333333","341","1.1763102",300
"301","344 SOMERVILLE AVE, Somerville, Massachusetts","42.3806646, -71.0984401",1,"146 Washington St, Somerville, MA","4.45","267","0.7724002",301
"302","349 BROADWAY, Somerville, Massachusetts","42.3936152, -71.09511",1,"146 Washington St, Somerville, MA","5.78333333333333","347","1.2061374",302
"303","35 CHARLESTOWN ST, Somerville, Massachusetts","42.376527, -71.0920211",3,"146 Washington St, Somerville, MA","3.2","192","0.4088812",303
"304","35 CHURCH ST, Somerville, Massachusetts","42.38179, -71.100026",1,"146 Washington St, Somerville, MA","4.56666666666667","274","0.83889",304
"305","35 HAROLD ST, Somerville, Massachusetts","42.3771845, -71.1020147",1,"146 Washington St, Somerville, MA","5.93333333333333","356","1.0514088",305
"306","35 LINDEN ST, Somerville, Massachusetts","42.3771329, -71.0927682",1,"146 Washington St, Somerville, MA","3.36666666666667","202","0.4275232",306
"307","35 MCGRATH HWY, Somerville, Massachusetts","42.374453, -71.082686",1,"146 Washington St, Somerville, MA","5.93333333333333","356","1.342224",307
"308","35 MEDFORD ST, Somerville, Massachusetts","42.3744208, -71.0879085",3,"146 Washington St, Somerville, MA","2.63333333333333","158","0.4946344",308
